uniprot_id,Tissue,Organ_id,RNAExpression (tpm)
A0A075B6H7,Adipose tissue,0.0,0.0
A0A075B6H8,Adipose tissue,0.0,20.0
A0A075B6H8,Adrenal gland,1.0,13.7
A0A075B6H8,Amygdala,2.0,0.2
A0A075B6H8,Appendix,3.0,217.1
A0A075B6H8,Basal ganglia,5.0,0.6
A0A075B6H8,Bone marrow,6.0,26.5
A0A075B6H8,Breast,7.0,73.0
A0A075B6H8,Cervix,10.0,43.8
A0A075B6H8,Colon,11.0,308.6
A0A075B6H8,Duodenum,12.0,429.2
A0A075B6H8,Esophagus,14.0,54.0
A0A075B6H8,Epididymis,16.0,0.3
A0A075B6H8,Fallopian tube,17.0,6.2
A0A075B6H8,Gallbladder,18.0,66.7
A0A075B6H9,Adipose tissue,0.0,11.7
A0A075B6H9,Adrenal gland,1.0,11.7
A0A075B6I1,Adipose tissue,0.0,19.7
A0A075B6I1,Adrenal gland,1.0,12.7
A0A075B6I1,Amygdala,2.0,0.1
A0A075B6I1,Appendix,3.0,287.8
A0A075B6I1,Basal ganglia,5.0,0.4
A0A075B6I1,Bone marrow,6.0,114.6
A0A075B6I1,Breast,7.0,244.7
A0A075B6I1,Cervix,10.0,121.7
A0A075B6I1,Colon,11.0,465.4
A0A075B6I1,Duodenum,12.0,349.6
A0A075B6I1,Esophagus,14.0,179.8
A0A075B6I1,Epididymis,16.0,5.3
A0A075B6I1,Fallopian tube,17.0,59.3
A0A075B6I1,Gallbladder,18.0,116.9
A0A075B6I1,Kidney,20.0,4.5
A0A075B6I1,Liver,21.0,13.2
A0A075B6I1,Lung,22.0,140.9
A0A075B6I1,Lymph node,23.0,273.3
A0A075B6I4,Adipose tissue,0.0,13.1
A0A075B6I4,Adrenal gland,1.0,13.5
A0A075B6I4,Amygdala,2.0,22.3
A0A075B6I4,Appendix,3.0,23.9
A0A075B6I4,Basal ganglia,5.0,25.9
A0A075B6I4,Bone marrow,6.0,9.2
A0A075B6I4,Breast,7.0,28.9
A0A075B6I4,Cervix,10.0,24.1
A0A075B6I4,Colon,11.0,25.9
A0A075B6I4,Duodenum,12.0,20.0
A0A075B6I4,Esophagus,14.0,24.1
A0A075B6I4,Epididymis,16.0,52.2
A0A075B6I4,Fallopian tube,17.0,36.8
A0A075B6I4,Gallbladder,18.0,34.9
A0A075B6I6,Adipose tissue,0.0,0.0
A0A075B6I6,Adrenal gland,1.0,0.1
A0A075B6I6,Amygdala,2.0,0.0
A0A075B6I6,Appendix,3.0,1.2
A0A075B6I6,Basal ganglia,5.0,0.0
A0A075B6I6,Bone marrow,6.0,0.8
A0A075B6I6,Breast,7.0,1.0
A0A075B6I6,Cervix,10.0,0.6
A0A075B6I6,Colon,11.0,3.2
A0A075B6I6,Duodenum,12.0,3.3
A0A075B6I6,Esophagus,14.0,0.3
A0A075B6I6,Epididymis,16.0,0.0
A0A075B6I6,Fallopian tube,17.0,0.2
A0A075B6I6,Gallbladder,18.0,0.4
A0A075B6I6,Kidney,20.0,0.0
A0A075B6I6,Liver,21.0,0.0
A0A075B6I6,Lung,22.0,0.4
A0A075B6I6,Lymph node,23.0,3.9
A0A075B6I6,Ovary,29.0,0.1
A0A075B6I6,Pancreas,30.0,0.0
A0A075B6I6,Placenta,35.0,0.0
A0A075B6I6,Prostate,36.0,0.1
A0A075B6I6,Rectum,37.0,1.7
A0A075B6I7,Adipose tissue,0.0,45.3
A0A075B6I7,Adrenal gland,1.0,304.7
A0A075B6I7,Amygdala,2.0,0.8
A0A075B6I7,Appendix,3.0,416.5
A0A075B6I7,Basal ganglia,5.0,2.5
A0A075B6I7,Bone marrow,6.0,98.5
A0A075B6I7,Breast,7.0,229.3
A0A075B6I7,Cervix,10.0,125.0
A0A075B6I7,Colon,11.0,684.8
A0A075B6I7,Duodenum,12.0,698.2
A0A075B6I7,Esophagus,14.0,170.2
A0A075B6I7,Epididymis,16.0,3.6
A0A075B6I7,Fallopian tube,17.0,19.8
A0A075B6I7,Gallbladder,18.0,167.2
A0A075B6I7,Kidney,20.0,0.6
A0A075B6I9,Adipose tissue,0.0,0.0
A0A075B6I9,Adrenal gland,1.0,0.5
A0A075B6I9,Amygdala,2.0,0.0
A0A075B6I9,Appendix,3.0,0.0
A0A075B6I9,Basal ganglia,5.0,0.1
A0A075B6I9,Bone marrow,6.0,0.3
A0A075B6I9,Breast,7.0,0.1
A0A075B6I9,Cervix,10.0,1.0
A0A075B6I9,Colon,11.0,0.4
A0A075B6I9,Duodenum,12.0,0.0
A0A075B6I9,Esophagus,14.0,45.8
A0A075B6I9,Epididymis,16.0,0.0
A0A075B6I9,Fallopian tube,17.0,1.1
A0A075B6I9,Gallbladder,18.0,0.0
A0A075B6I9,Kidney,20.0,0.2
A0A075B6I9,Liver,21.0,0.7
A0A075B6I9,Lung,22.0,0.4
A0A075B6I9,Lymph node,23.0,0.0
A0A075B6I9,Ovary,29.0,0.0
A0A075B6I9,Pancreas,30.0,0.0
A0A075B6J2,Adipose tissue,0.0,0.0
A0A075B6J2,Adrenal gland,1.0,0.0
A0A075B6J2,Amygdala,2.0,0.0
A0A075B6J2,Appendix,3.0,0.1
A0A075B6J2,Basal ganglia,5.0,0.0
A0A075B6J2,Bone marrow,6.0,0.3
A0A075B6J2,Breast,7.0,0.4
A0A075B6J2,Cervix,10.0,0.0
A0A075B6J2,Colon,11.0,0.2
A0A075B6J2,Duodenum,12.0,0.5
A0A075B6J2,Esophagus,14.0,0.0
A0A075B6J2,Epididymis,16.0,0.0
A0A075B6J2,Fallopian tube,17.0,0.0
A0A075B6J2,Gallbladder,18.0,0.0
A0A075B6J2,Kidney,20.0,0.0
A0A075B6J2,Liver,21.0,0.0
A0A075B6J2,Lung,22.0,0.0
A0A075B6J2,Lymph node,23.0,0.1
A0A075B6J2,Ovary,29.0,0.0
A0A075B6J2,Pancreas,30.0,0.0
A0A075B6J2,Placenta,35.0,0.0
A0A075B6J6,Adipose tissue,0.0,20.5
A0A075B6J6,Adrenal gland,1.0,89.4
A0A075B6J6,Amygdala,2.0,0.6
A0A075B6J6,Appendix,3.0,408.0
A0A075B6J6,Basal ganglia,5.0,0.5
A0A075B6J6,Bone marrow,6.0,143.2
A0A075B6J6,Breast,7.0,138.1
A0A075B6J6,Cervix,10.0,169.5
A0A075B6J6,Colon,11.0,340.5
A0A075B6J6,Duodenum,12.0,345.2
A0A075B6J6,Esophagus,14.0,66.1
A0A075B6J6,Epididymis,16.0,0.6
A0A075B6J6,Fallopian tube,17.0,16.5
A0A075B6J6,Gallbladder,18.0,177.2
A0A075B6J9,Adipose tissue,0.0,0.2
A0A075B6J9,Adrenal gland,1.0,0.1
A0A075B6J9,Amygdala,2.0,0.0
A0A075B6J9,Appendix,3.0,0.0
A0A075B6K5,Adipose tissue,0.0,0.3
A0A075B6K5,Adrenal gland,1.0,0.0
A0A075B6K5,Amygdala,2.0,0.1
A0A075B6K5,Appendix,3.0,2.9
A0A075B6K5,Basal ganglia,5.0,0.3
A0A075B6K5,Bone marrow,6.0,0.9
A0A075B6K5,Breast,7.0,1.9
A0A075B6K5,Cervix,10.0,0.1
A0A075B6K5,Colon,11.0,4.8
A0A075B6K5,Duodenum,12.0,4.5
A0A075B6K5,Esophagus,14.0,0.1
A0A075B6K5,Epididymis,16.0,0.0
A0A075B6K5,Fallopian tube,17.0,0.0
A0A075B6K5,Gallbladder,18.0,0.7
A0A075B6K5,Kidney,20.0,0.1
A0A075B6K5,Liver,21.0,0.0
A0A075B6K5,Lung,22.0,1.4
A0A075B6K5,Lymph node,23.0,10.9
A0A075B6K5,Ovary,29.0,0.0
A0A075B6N1,Adipose tissue,0.0,1.7
A0A075B6N1,Adrenal gland,1.0,0.3
A0A075B6N1,Amygdala,2.0,0.1
A0A075B6N1,Appendix,3.0,18.0
A0A075B6N1,Basal ganglia,5.0,18.0
A0A075B6N2,Adipose tissue,0.0,0.0
A0A075B6N2,Adrenal gland,1.0,0.0
A0A075B6N2,Amygdala,2.0,0.3
A0A075B6N2,Appendix,3.0,0.0
A0A075B6N2,Basal ganglia,5.0,5.4
A0A075B6N2,Bone marrow,6.0,0.1
A0A075B6N2,Breast,7.0,0.0
A0A075B6N2,Cervix,10.0,0.1
A0A075B6N2,Colon,11.0,0.0
A0A075B6N2,Duodenum,12.0,0.1
A0A075B6N2,Esophagus,14.0,0.0
A0A075B6N2,Epididymis,16.0,0.0
A0A075B6N2,Fallopian tube,17.0,0.0
A0A075B6N2,Gallbladder,18.0,0.3
A0A075B6N2,Kidney,20.0,0.0
A0A075B6N2,Liver,21.0,0.0
A0A075B6N2,Lung,22.0,0.7
A0A075B6N2,Lymph node,23.0,2.4
A0A075B6N3,Adipose tissue,0.0,5.6
A0A075B6N3,Adrenal gland,1.0,7.0
A0A075B6N3,Amygdala,2.0,0.7
A0A075B6N3,Appendix,3.0,181.4
A0A075B6N3,Basal ganglia,5.0,1.0
A0A075B6N3,Bone marrow,6.0,33.4
A0A075B6N3,Breast,7.0,11.2
A0A075B6N3,Cervix,10.0,11.6
A0A075B6N3,Colon,11.0,1.8
A0A075B6N4,Adipose tissue,0.0,0.0
A0A075B6P5,Adipose tissue,0.0,0.0
A0A075B6P5,Adrenal gland,1.0,0.8
A0A075B6P5,Amygdala,2.0,4.4
A0A075B6P5,Appendix,3.0,0.0
A0A075B6P5,Basal ganglia,5.0,3.9
A0A075B6P5,Bone marrow,6.0,0.0
A0A075B6P5,Breast,7.0,0.5
A0A075B6R2,Adipose tissue,0.0,0.0
A0A075B6R2,Adrenal gland,1.0,0.1
A0A075B6R2,Amygdala,2.0,0.0
A0A075B6R2,Appendix,3.0,2.0
A0A075B6R2,Basal ganglia,5.0,0.1
A0A075B6R2,Bone marrow,6.0,0.2
A0A075B6R2,Breast,7.0,0.0
A0A075B6R2,Cervix,10.0,0.0
A0A075B6R2,Colon,11.0,0.4
A0A075B6R2,Duodenum,12.0,0.6
A0A075B6R2,Esophagus,14.0,0.0
A0A075B6R2,Epididymis,16.0,0.0
A0A075B6R2,Fallopian tube,17.0,0.3
A0A075B6R2,Gallbladder,18.0,0.1
A0A075B6R2,Kidney,20.0,0.0
A0A075B6R2,Liver,21.0,0.0
A0A075B6R2,Lung,22.0,0.5
A0A075B6R2,Lymph node,23.0,4.1
A0A075B6R2,Ovary,29.0,0.0
A0A075B6R2,Pancreas,30.0,0.1
A0A075B6R9,Adipose tissue,0.0,0.0
A0A075B6R9,Adrenal gland,1.0,0.0
A0A075B6R9,Amygdala,2.0,0.0
A0A075B6R9,Appendix,3.0,0.0
A0A075B6R9,Basal ganglia,5.0,0.0
A0A075B6R9,Bone marrow,6.0,0.0
A0A075B6R9,Breast,7.0,0.0
A0A075B6R9,Cervix,10.0,0.0
A0A075B6R9,Colon,11.0,0.0
A0A075B6R9,Duodenum,12.0,0.0
A0A075B6R9,Esophagus,14.0,0.0
A0A075B6R9,Epididymis,16.0,0.0
A0A075B6R9,Fallopian tube,17.0,0.0
A0A075B6R9,Gallbladder,18.0,0.0
A0A075B6S0,Adipose tissue,0.0,0.5
A0A075B6S0,Adrenal gland,1.0,0.0
A0A075B6S0,Amygdala,2.0,1.8
A0A075B6S0,Appendix,3.0,7.3
A0A075B6S0,Basal ganglia,5.0,2.1
A0A075B6S0,Bone marrow,6.0,25.5
A0A075B6S0,Breast,7.0,0.9
A0A075B6S0,Cervix,10.0,0.1
A0A075B6S0,Colon,11.0,0.3
A0A075B6S0,Duodenum,12.0,0.1
A0A075B6S0,Esophagus,14.0,0.0
A0A075B6S0,Epididymis,16.0,0.0
A0A075B6S0,Fallopian tube,17.0,0.4
A0A075B6S0,Gallbladder,18.0,1.8
A0A075B6S0,Kidney,20.0,2.4
A0A075B6S9,Adipose tissue,0.0,0.0
A0A075B6S9,Adrenal gland,1.0,0.0
A0A075B6S9,Amygdala,2.0,0.0
A0A075B6S9,Appendix,3.0,0.0
A0A075B6S9,Basal ganglia,5.0,0.0
A0A075B6S9,Bone marrow,6.0,0.0
A0A075B6S9,Breast,7.0,0.0
A0A075B6S9,Cervix,10.0,0.0
A0A075B6S9,Colon,11.0,0.0
A0A075B6S9,Duodenum,12.0,0.0
A0A075B6S9,Esophagus,14.0,0.0
A0A075B6S9,Epididymis,16.0,0.0
A0A075B6S9,Fallopian tube,17.0,0.0
A0A075B6S9,Gallbladder,18.0,0.0
A0A075B6S9,Kidney,20.0,0.0
A0A075B6W5,Adipose tissue,0.0,0.3
A0A075B6W5,Adrenal gland,1.0,0.2
A0A075B6W5,Amygdala,2.0,0.0
A0A075B6W5,Appendix,3.0,2.8
A0A075B6W5,Basal ganglia,5.0,0.0
A0A075B6W5,Bone marrow,6.0,0.7
A0A075B6W5,Breast,7.0,0.3
A0A075B6W5,Cervix,10.0,0.6
A0A075B6W5,Colon,11.0,4.6
A0A075B6W5,Duodenum,12.0,4.6
A0A075B6Y3,Adipose tissue,0.0,2.9
A0A075B6Y9,Adipose tissue,0.0,0.0
A0A075B6Y9,Adrenal gland,1.0,0.0
A0A075B6Y9,Amygdala,2.0,2.4
A0A075B6Y9,Appendix,3.0,8.45
A0A075B6Y9,Basal ganglia,5.0,6.6000000000000005
A0A075B6Y9,Bone marrow,6.0,0.5
A0A075B6Y9,Breast,7.0,1.1
A0A075B6Y9,Cervix,10.0,0.0
A0A075B6Y9,Colon,11.0,0.4
A0A075B6Y9,Duodenum,12.0,2.35
A0A075B6Y9,Esophagus,14.0,0.0
A0A075B6Y9,Epididymis,16.0,6.8
A0A075B6Y9,Fallopian tube,17.0,0.0
A0A075B6Y9,Gallbladder,18.0,0.0
A0A075B6Y9,Kidney,20.0,2.0
A0A075B6Y9,Liver,21.0,0.0
A0A075B6Y9,Lung,22.0,0.6
A0A075B6Y9,Lymph node,23.0,6.6
A0A075B6Y9,Ovary,29.0,0.0
A0A075B6Y9,Pancreas,30.0,0.0
A0A075B6Y9,Placenta,35.0,0.0
A0A075B6Y9,Prostate,36.0,1.8
A0A075B6Y9,Rectum,37.0,1.9
A0A075B6Y9,Skeletal muscle,39.0,3.0
A0A075B6Y9,Salivary gland,40.0,0.0
A0A075B6Y9,Seminal vesicle,41.0,0.0
A0A075B6Y9,Small intestine,43.0,3.3
A0A075B700,Adipose tissue,0.0,0.0
A0A075B700,Adrenal gland,1.0,0.0
